search_keyword,jobName,custName,coIndustryDesc,jobRole,salaryLow,salaryHigh,salaryType,jobAddrNoDesc,jobAddress,remoteWorkType,optionEdu,periodDesc,major,applyCnt,appearDate,description,jobLink
行銷,健康醫療行銷專案管理PM,葛萊恩行銷顧問有限公司,廣告行銷公關業,未知,0047000,9999999,月薪,台北市中正區,許昌街42之1號5樓​509室​,部分遠端,專科,3年以上,,00009,2026-01-01,"成效報表，知道下一步該怎麼調整會更好

【你是誰？】

3 年以上經驗，受夠了大公司的低效率，想在小公司拿高薪拼戰功。
不怕醫療產業，甚至覺得這是有挑戰性的藍海。
懂[[[行銷]]]邏輯，文字有溫度，做事有條理。

有自己的想法願意跟老闆抬槓！

【薪資與福利",https://www.104.com.tw/job/8x0u4
行銷,行銷設計專員,創點子媒體行銷有限公司,廣告行銷公關業,未知,0032000,0042000,月薪,桃園市中壢區,,部分遠端,專科,1年以上,"藝術商業設計,市場行銷相關,大眾傳播學相關",00006,2026-01-07,"【工作內容】
你喜愛設計、熱愛數位[[[行銷]]]，期待在創新科技領域不斷突破成長嗎？
我們正在尋找一位熱情且積極的視覺設計師加入創點子媒體團隊，並協助經營社群[[[行銷]]]。

你將負責的內容包含：
◆ 熟悉運用Adobe Photoshop、Illustrator",https://www.104.com.tw/job/87dcv
行銷,品牌行銷專員,社團法人全球小紅帽協會,社會福利服務業,未知,0037000,9999999,月薪,台北市大同區,大同區重慶北路三段335巷40號,部分遠端,高中以下,2年以上,,00004,2025-12-12,"工作內容
- 社群媒體內容製作、平台管理（主要為FB、IG、threads等）30%
- 倡議行動[[[行銷]]]企劃發想與協作 15%
- 社群[[[行銷]]]策略規劃與成效分析 10%
- 撰寫電子報、官網專欄傳遞小紅帽行動成果與組織理念 15%
- 對外分享組織行",https://www.104.com.tw/job/8wchs
行銷,品牌行銷企劃,樂奎有限公司,綜合商品批發代理業,未知,0035000,9999999,月薪,台北市信義區,松德路69號2樓 (距捷運永春站350公尺),部分遠端,大學,1年以上,,00002,2026-01-07,"【主要工作內容】
- 整合[[[行銷]]]：主導線上(官網、社群、EDM、會員) 整合[[[行銷]]]規劃與執行。
- 品牌視覺、[[[行銷]]]素材規劃設計 (視覺設計、排版、文案)
- 數位廣告：追蹤廣告投放與[[[行銷]]]成效，數據分析及策略優化。
- 其他主管交辦工作事務


【職務",https://www.104.com.tw/job/8x9lo
行銷,行銷專員,財團法人自然保育與環境資訊基金會,其他組織,未知,0036000,0040000,月薪,新北市新店區,民權路48號3樓,部分遠端,學歷不拘,3年以上,,00002,2026-01-09,"【職務內容】
1.負責本會[[[行銷]]]策略，負責管理自合作企業導入的大眾定期捐款。
2.負責創建內容觸及潛在捐款人，拓展捐款名單及成果。
3.分析既有內容及現況，制定操作策略，規劃廣告活動。
4.其他因應募款活動需求可能產生的[[[行銷]]]需求。

【需求與條件】",https://www.104.com.tw/job/8ribz
行銷,品牌行銷,墨雨互動設計有限公司,多媒體傳播相關業,未知,0030000,0040000,月薪,台北市信義區,基隆路2段189號9樓,部分遠端,專科,經歷不拘,,00001,2026-01-07,"我們正尋找一名活力充沛和創意十足的品牌[[[行銷]]]經理加入我們的團隊，帶領我們從無到有的品牌建設，這個角色在我們品牌建設的0-1階段中致關重要，需要一位專家帶領我們的品牌布展，推動各領域的參與和交流。

品牌策略發展：
製定並執行與 MONOLAB 的見",https://www.104.com.tw/job/8lqa6
行銷,行銷企劃,友環企業股份有限公司,電腦軟體服務業,未知,0032000,9999999,月薪,新北市板橋區,三民路二段37號7樓之2,部分遠端,高中,經歷不拘,,00002,2025-12-09,"- [[[行銷]]]推廣計畫企劃、簡報撰寫和提案
- 社群 &amp; 官網 Blog 內容規劃製作及上架檔期安排
- 市場[[[行銷]]]調查分析及產品[[[行銷]]]宣傳執行
- 活動規劃
- 顧客關係管理與廣告投放
- 對網路趨勢及產品敏銳度高
- 善團隊配合，具跨部門溝通協調之能力",https://www.104.com.tw/job/7firo
行銷,品牌行銷設計師,Tea18朝霧紅茶_朝霧紅茶有限公司,飲料店業,未知,0040000,0080000,月薪,南投縣魚池鄉,,部分遠端,專科,2年以上,,00003,2026-01-12,"工作內容:

1. 負責[[[行銷]]]企劃案的撰寫、規劃，籌備、執行公司對外的[[[行銷]]]活動與媒體活動（如：展覽、促銷活動），並對其效益進行分析與建議。
2. 進行產業競爭分析及市場調查分析。
3. 建立、分析現有顧客與潛在顧客資料，並發展客戶維繫方案。",https://www.104.com.tw/job/8m7sf
行銷,拍拍印 - 行銷企劃專員｜邀請有才華的你一同打造行銷奇蹟！,先知鳥有限公司,其它軟體及網路相關業,未知,0032000,0048000,月薪,台北市大同區,,部分遠端,專科,經歷不拘,"商業及管理學科類,大眾傳播學科類,其他相關科系",00001,2026-01-08,"我們正在尋找[[[行銷]]]的夢想家！ 全台最具創意的婚禮活動拍貼品牌「拍拍印」，正在熱情招募[[[行銷]]]企劃專員！如果你對品牌[[[行銷]]]、社群經營充滿熱情，渴望在婚禮及活動行業中脫穎而出，我們就是你理想的舞台！

你的工作內容將包括：

品牌社群經營：負責短影音創作、社",https://www.104.com.tw/job/8adu8
行銷,行銷企劃,上昇糧食有限公司,其他食品製造業,未知,0029500,0040000,月薪,嘉義縣溪口鄉,坪頂村下坪18號,部分遠端,專科,2年以上,,00002,2025-12-15,"找來找去，品牌公關、[[[行銷]]]企劃的相關工作，似乎都在都市。想要回鄉工作，也希望得到好的職涯發展。
友米友田在嘉義溪口，作為農業品牌，我們需要你一起努力！
想要一起為嘉義的農業開創新世界嗎？快加入我們吧！

工作內容：
1.社群經營及文案撰寫。
2.",https://www.104.com.tw/job/7z1id
